token,count
▁подразделени,3
▁сообщ,3
▁наступление,3
▁батальон,3
▁бомби,3
двинул,3
департамент,3
stan,3
▁урегулирован,3
▁зон,3
▁предложени,3
бомб,3
▁решени,3
▁мирны,3
▁оон,3
▁переоборудован,3
▁бауманск,2
▁скульптурн,2
▁изображени,2
▁предполага,2
▁писател,2
▁александр,2
▁сергеевич,2
сследовани,2
▁установ,2
▁школ,2
▁скульптор,2
▁четырёх,2
▁гранита,2
▁отличи,2
▁многочисленн,2
▁возрасте,2
▁мемориальн,2
▁констан,2
▁творчески,2
▁полнометражны,2
▁водевил,2
▁бродве,2
▁небольш,2
▁хоукса,2
▁шелдон,2
картин,2
▁класс,2
▁историческо,2
▁номин,2
▁глобус,2
▁кинематографа,2
▁арчибальд,2
▁акробатическим,2
▁ходулях,2
▁гастрол,2
хороши,2
▁дебют,2
▁неоднозначн,2
▁молод,2
▁шуберт,2
▁уильям,2
спектакл,2
▁киноиндустрии,2
▁подписал,2
▁глубин,2
сильви,2
▁закрепил,2
▁провальны,2
▁плохо,2
крылья,2
ошен,2
▁кинолента,2
▁благо,2
▁отзывы,2
▁культов,2
▁статус,2
▁британско,2
▁ангел,2
▁уникальн,2
▁обществ,2
точк,2
▁супруг,2
стюарт,2
критиками,2
▁пригласил,2
▁сотрудничеств,2
влекательн,2
▁счастлив,2
▁удосто,2
▁критики,2
пущен,2
▁фрэнк,2
бергман,2
▁публики,2
кризис,2
▁высок,2
▁значительно,2
ъ,2
▁процесс,2
▁критическ,2
▁роман,2
▁продолж,2
▁четвёрт,2
боле,2
▁известн,2
▁звёзд,2
▁достиг,2
▁деятельност,2
=,2
являл,2
еребр,2
afi,2
▁времён,2
▁единственн,2
nald,2
ning,2
air,2
sele,2
ebra,2
rey,2
▁america,2
▁inter,2
movie,2
▁database,2
▁анто,2
é,2
защит,2
▁известен,2
▁шестидневн,2
▁решающ,2
▁гибел,2
▁победител,2
ó,2
ú,2
▁управля,2
▁гватемал,2
▁огранич,2
▁медленно,2
▁поводо,2
торым,2
▁испани,2
ционно,2
▁эрнан,2
▁скоротечн,2
▁объясня,2
▁название,2
▁интеграци,2
▁свободн,2
основ,2
гондурас,2
билизаци,2
▁вынужден,2
%,2
▁имущества,2
▁контрол,2
▁привод,2
миграции,2
▁крестьян,2
▁населён,2
льскохозяйственн,2
▁нелегальны,2
▁меньш,2
плату,2
тельств,2
▁перераспределен,2
▁пограничн,2
▁грузовик,2
политически,2
сложн,2
▁забастовк,2
▁осадно,2
▁подавлен,2
▁документ,2
▁высыл,2
▁требу,2
▁массово,2
▁информаци,2
▁развёрнут,2
тянул,2
▁служб,2
▁недовольство,2
▁поддержк,2
▁масштаб,2
▁флаг,2
▁министр,2
▁преследования,2
▁угроз,2
▁штурмовик,2
▁авиабаз,2
orte,2
ñ,2
▁военнослужащи,2
▁пехотн,2
▁генерал,2
▁принадлежа,2
▁истребителей,2
действ,2
▁воздух,2
стояние,2
▁переговор,2
▁авиабомб,2
ступил,2
▁прекрати,2
▁получ,2
▁призыв,2
▁количеств,2
▁памят,2
acion,2
▁бомбардировщик,2
▁disp,2
▁salvador,2
▁conflict,2
„,1
“,1
«,1
q,1
á,1
ś,1
ń,1
í,1
